Line,Purpose,Trait,Field_experiment
2MS16_4135-122,Experimental,HD_DON_no_corr,FHB
2MS16_4135-123,Experimental,HD_DON_no_corr,FHB
2MS16_4135-124,Experimental,HD_DON_no_corr,FHB
2MS16_4135-125,Experimental,HD_DON_no_corr,FHB
2MS16_4135-126,Experimental,HD_DON_no_corr,FHB
2MS16_4135-127,Experimental,HD_DON_no_corr,FHB
2MS16_4135-128,Experimental,HD_DON_no_corr,FHB
2MS16_4135-129,Experimental,HD_DON_no_corr,FHB
2MS16_4135-130,Experimental,HD_DON_no_corr,FHB
2MS16_4135-131,Experimental,HD_DON_no_corr,FHB
2MS16_4135-132,Experimental,HD_DON_no_corr,FHB
2MS16_4135-133,Experimental,HD_DON_no_corr,FHB
2MS16_4135-134,Experimental,HD_DON_no_corr,FHB
2MS16_4135-135,Experimental,HD_DON_no_corr,FHB
2MS16_4135-136,Experimental,HD_DON_no_corr,FHB
2MS16_4135-137,Experimental,HD_DON_no_corr,FHB
2MS16_4135-138,Experimental,HD_DON_no_corr,FHB
2MS16_4135-139,Experimental,HD_DON_no_corr,FHB
2MS16_4135-140,Experimental,HD_DON_no_corr,FHB
2MS16_4135-141,Experimental,HD_DON_no_corr,FHB
2MS16_4135-142,Experimental,HD_DON_no_corr,FHB
2MS16_4135-143,Experimental,HD_DON_no_corr,FHB
2MS16_4135-144,Experimental,HD_DON_no_corr,FHB
2MS16_4135-145,Experimental,HD_DON_no_corr,FHB
2MS16_4135-146,Experimental,HD_DON_no_corr,FHB
2MS16_4135-147,Experimental,HD_DON_no_corr,FHB
2MS16_4135-148,Experimental,HD_DON_no_corr,FHB
2MS16_4135-149,Experimental,HD_DON_no_corr,FHB
2MS16_4135-150,Experimental,HD_DON_no_corr,FHB
2MS16_4135-151,Experimental,HD_DON_no_corr,FHB
2MS16_4135-152,Experimental,HD_DON_no_corr,FHB
2MS16_4135-153,Experimental,HD_DON_no_corr,FHB
2MS16_4135-154,Experimental,HD_DON_no_corr,FHB
2MS16_4142-001,Experimental,DON_high_Vg,FHB
2MS16_4142-002,Experimental,DON_high_Vg,FHB
2MS16_4142-003,Experimental,DON_high_Vg,FHB
2MS16_4142-004,Experimental,DON_high_Vg,FHB
